"Table 9.7a   Annual pay - Gross (£) - For all employee jobsa: United Kingdom, 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
,,of jobsb,,percentage,,percentage,Percentiles,,,,,,,,,,,,,,,,,
Description,Code,(thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90,,,,,,,,
United Kingdom,K02000001,"22,447","24,937",3.9,"30,673",2.9,"8,182","13,019","15,532","17,552","21,037","29,271","34,585","37,767","41,457","54,266",,,,,,,,
Great Britain,K03000001,"21,715","25,000",3.9,"30,823",2.9,"8,189","13,037","15,576","17,600","21,102","29,400","34,716","37,920","41,670","54,602",,Key,Statistical robustness,,,,,
England and Wales,K04000001,"19,751","25,011",3.8,"31,038",3.0,"8,166","13,015","15,572","17,599","21,114","29,477","34,868","38,082","41,909","55,114",,CV <= 5%,Estimates are considered precise ,,,,,
England,E92000001,"18,763","25,169",3.6,"31,322",3.0,"8,179","13,044","15,614","17,663","21,228","29,645","35,027","38,357","42,236","55,741",,CV > 5% and <= 10%,Estimates are considered reasonably precise,,,,,
North East,E12000001,860,"22,602",4.4,"26,339",2.9,"7,993","12,607","14,907","16,679","19,560","26,126","30,605","33,329","36,523","45,580",,CV > 10% and <= 20%,Estimates are considered acceptable,,,,,
Berwick-upon-Tweed,E14000554,15,"15,459",,"19,296",2.1,x,x,x,x,"13,015","19,541",x,x,x,x,,x = CV > 20%,Estimates are considered unreliable for practical purposes,,,,,
Bishop Auckland,E14000569,19,"21,165",,"23,668",-8.2,x,x,x,"15,376","18,313","24,912","30,629","33,744",x,x,,.. = disclosive,,,,,,
Blaydon,E14000574,23,"20,469",2.8,"23,731",8.6,"7,052","9,653","12,744","15,283","17,954","24,049","27,981","31,043",x,x,,: = not applicable,,,,,,
Blyth Valley,E14000575,19,"22,501",6.6,"22,815",-3.8,x,"9,112","10,368","12,660","18,112","25,304","29,212","31,336",x,x,,- = nil or negligible ,,,,,,
City of Durham,E14000641,45,"24,106",0.0,"32,631",5.1,"8,451","14,719","17,389","18,648","20,725","28,380","34,990","37,517","40,389",x,,,,,,,,
Darlington,E14000658,35,"23,501",2.8,"25,904",-11.0,"8,841","12,586","14,019","16,676","19,371","27,948","31,803","35,503","37,645",x,,,,,,,,
Easington,E14000677,24,"20,694",0.9,"24,332",2.3,x,"12,950","15,200","16,375","19,357","23,094","27,032","30,309",x,x,,,,,,,,
Gateshead,E14000709,38,"22,977",6.0,"26,627",8.8,x,"14,583","16,219","17,879","20,570","27,366","31,881","33,831",x,x,,,,,,,,
