,,,,
Registers of Scotland,,,,
Data and statistics,,,,
,,,,
"Table 4: Median residential property price by UK Parliamentary constituency: Scotland, 2004 to 2018, calendar year data",,,,
"These statistics include all residential sales in Scotland between £20,000 and £1,000,000, and are based on date of registration with Registers of Scotland.",,,,
Scroll up for more data,,,,
Year,United Kingdom Parliamentary constituency code,United Kingdom Parliamentary constituency name,Median residential property price (£),
2004,S14000001,Aberdeen North                                    ,"65,000",
2004,S14000002,Aberdeen South                                    ,"85,000",
2004,S14000003,Airdrie and Shotts                                ,"65,000",
2004,S14000004,Angus                                             ,"65,000",
2004,S14000005,Argyll and Bute                                   ,"80,000",
2004,S14000006,"Ayr, Carrick and Cumnock                          ","81,000",
2004,S14000007,Banff and Buchan                                  ,"60,000",
2004,S14000008,"Berwickshire, Roxburgh and Selkirk                ","86,166",
2004,S14000009,"Caithness, Sutherland and Easter Ross             ","70,000",
2004,S14000010,Central Ayrshire                                  ,"76,750",
2004,S14000011,"Coatbridge, Chryston and Bellshill                ","82,500",
2004,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","67,100",
2004,S14000013,Dumfries and Galloway                             ,"83,000",
2004,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","103,000",
2004,S14000015,Dundee East                                       ,"87,147",
2004,S14000016,Dundee West                                       ,"62,100",
2004,S14000017,Dunfermline and West Fife                         ,"84,500",
2004,S14000018,East Dunbartonshire                               ,"146,659",
2004,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","77,500",
2004,S14000020,East Lothian                                      ,"115,000",
2004,S14000021,East Renfrewshire                                 ,"142,000",
2004,S14000022,Edinburgh East                                    ,"123,000",
2004,S14000023,Edinburgh North and Leith                         ,"149,995",
2004,S14000024,Edinburgh South                                   ,"166,000",
2004,S14000025,Edinburgh South West                              ,"120,000",
2004,S14000026,Edinburgh West                                    ,"133,000",
2004,S14000027,Na h-Eileanan an Iar                              ,"60,000",
2004,S14000028,Falkirk                                           ,"75,600",
2004,S14000029,Glasgow Central                                   ,"110,000",
2004,S14000030,Glasgow East                                      ,"67,210",
2004,S14000031,Glasgow North                                     ,"138,139",
2004,S14000032,Glasgow North East                                ,"72,500",
2004,S14000033,Glasgow North West                                ,"105,000",
2004,S14000034,Glasgow South                                     ,"102,057",
2004,S14000035,Glasgow South West                                ,"72,000",
2004,S14000036,Glenrothes                                        ,"60,000",
2004,S14000037,Gordon                                            ,"105,000",
