,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 4 January 2021],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2019-Jun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,mnemonic,Numerator,Denominator,% all in employment who work in - A:agriculture and fishing (SIC 2007),Conf,Numerator,Denominator,"% all in employment who work in - B,D,E:energy and water (SIC 2007)",Conf,Numerator,Denominator,% all in employment who work in - C:manufacturing (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - F:construction (SIC 2007),Conf,Numerator,Denominator,"% all in employment who work in - G,I:distribution, hotels and restaurants (SIC 2007)",Conf,Numerator,Denominator,"% all in employment who work in - H,J:transport and communications (SIC 2007)",Conf,Numerator,Denominator,"% all in employment who work in - K-N:banking, finance and insurance (SIC 2007)",Conf,Numerator,Denominator,% all in employment who work in - O-Q:public admin. education and health (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - R-U:other services (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - G-U:total services (SIC 2007),Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca10:Berwick-upon-Tweed,E14000554,2300,34700,6.5,*,!,34700,!,!,3300,34700,9.5,4.9,2600,34700,7.6,4.5,5800,34700,16.6,6.3,2700,34700,7.9,4.5,5800,34700,16.6,6.3,10700,34700,30.9,7.8,1300,34700,3.7,*,26300,34700,75.7,7.2
pca10:Bishop Auckland,E14000569,!,37900,!,!,!,37900,!,!,6000,37900,15.8,6.5,4300,37900,11.3,5.6,5900,37900,15.5,6.4,1200,37900,3.3,*,4600,37900,12.2,5.8,11700,37900,30.9,8.2,2800,37900,7.5,*,26300,37900,69.4,8.2
pca10:Blaydon,E14000574,!,41500,!,!,600,41500,1.3,*,4400,41500,10.6,4.0,3800,41500,9.1,3.7,6800,41500,16.4,4.8,3600,41500,8.6,3.6,7500,41500,18.2,5.0,13100,41500,31.4,6.1,1700,41500,4.1,*,32700,41500,78.7,5.3
pca10:Blyth Valley,E14000575,!,36600,!,!,800,36600,2.3,*,6300,36600,17.1,5.8,2900,36600,7.9,4.2,3100,36600,8.5,4.3,4300,36600,11.8,5.0,7400,36600,20.3,6.3,8900,36600,24.2,6.7,2900,36600,8.0,4.2,26600,36600,72.7,6.9
pca10:City of Durham,E14000641,!,48900,!,!,!,48900,!,!,3200,48900,6.6,*,3600,48900,7.4,*,8100,48900,16.6,6.8,3300,48900,6.7,*,5700,48900,11.7,5.8,23000,48900,47.1,9.1,1300,48900,2.8,*,41400,48900,84.8,6.5
pca10:Darlington,E14000658,~,42000,0.6,*,700,42000,1.7,*,4000,42000,9.5,2.5,2700,42000,6.5,2.1,8000,42000,19.1,3.3,3500,42000,8.3,2.3,4800,42000,11.4,2.7,16000,42000,38.1,4.1,1900,42000,4.6,1.8,34200,42000,81.5,3.3
pca10:Easington,E14000677,!,38500,!,!,!,38500,!,!,5500,38500,14.3,7.2,3100,38500,8.0,*,5400,38500,14.1,7.2,1800,38500,4.6,*,5600,38500,14.6,7.3,12500,38500,32.5,9.7,4200,38500,10.8,*,29500,38500,76.6,8.8
pca10:Gateshead,E14000709,!,47900,!,!,!,47900,!,!,6100,47900,12.8,4.3,3200,47900,6.7,3.2,10000,47900,20.8,5.2,2100,47900,4.3,2.6,6100,47900,12.7,4.3,16900,47900,35.3,6.2,2800,47900,5.8,3.0,37900,47900,79.1,5.2
pca10:Hartlepool,E14000733,!,39800,!,!,2200,39800,5.5,1.9,3100,39800,7.9,2.2,3700,39800,9.4,2.4,8900,39800,22.4,3.4,2100,39800,5.4,1.9,5200,39800,13.1,2.8,12500,39800,31.3,3.8,1700,39800,4.3,1.7,30400,39800,76.5,3.5
pca10:Hexham,E14000746,2600,37300,7.0,4.2,!,37300,!,!,900,37300,2.5,*,3000,37300,7.9,4.5,6200,37300,16.5,6.1,3500,37300,9.4,4.8,5800,37300,15.7,6.0,13100,37300,35.1,7.9,1700,37300,4.5,*,30300,37300,81.2,6.4
pca10:Houghton and Sunderland South,E14000754,#,36100,1.6,*,1000,36100,2.8,*,3900,36100,10.9,4.5,3200,36100,8.9,4.1,5500,36100,15.2,5.2,2300,36100,6.4,3.5,4600,36100,12.8,4.8,11900,36100,33.1,6.8,3000,36100,8.3,4.0,27300,36100,75.8,6.2
pca10:Jarrow,E14000765,!,38200,!,!,1100,38200,2.9,*,5800,38200,15.0,4.1,2900,38200,7.6,3.1,6400,38200,16.6,4.3,2700,38200,7.1,3.0,5400,38200,14.0,4.0,12500,38200,32.7,5.4,1500,38200,3.9,2.2,28400,38200,74.4,5.1
pca10:Middlesbrough,E14000819,!,39800,!,!,~,39800,0.9,*,2900,39800,7.3,2.6,2800,39800,7.0,2.5,9200,39800,23.0,4.1,4200,39800,10.4,3.0,3400,39800,8.5,2.7,16100,39800,40.4,4.8,700,39800,1.7,*,33400,39800,84.1,3.6
pca10:Middlesbrough South and East Cleveland,E14000820,!,39500,!,!,1100,39500,2.9,1.7,4000,39500,10.2,3.0,3300,39500,8.4,2.8,8000,39500,20.1,4.0,1600,39500,4.1,2.0,3600,39500,9.0,2.9,14900,39500,37.7,4.8,2400,39500,6.2,2.4,30500,39500,77.1,4.2
pca10:Newcastle upon Tyne Central,E14000831,!,37900,!,!,!,37900,!,!,1900,37900,5.0,*,1900,37900,5.1,*,7300,37900,19.3,6.7,3900,37900,10.3,5.1,7800,37900,20.5,6.8,13700,37900,36.0,8.1,1500,37900,3.8,*,34100,37900,90.0,5.1
pca10:Newcastle upon Tyne East,E14000832,!,42300,!,!,1100,42300,2.7,*,2800,42300,6.5,4.1,1400,42300,3.3,*,6300,42300,14.9,6.0,3700,42300,8.8,4.7,4400,42300,10.3,5.1,19300,42300,45.5,8.3,3400,42300,7.9,4.5,37000,42300,87.5,5.5
pca10:Newcastle upon Tyne North,E14000833,!,57200,!,!,1600,57200,2.8,*,3900,57200,6.8,3.4,2500,57200,4.3,*,13400,57200,23.4,5.8,6400,57200,11.1,4.3,6800,57200,11.9,4.4,19700,57200,34.4,6.5,3100,57200,5.3,3.1,49300,57200,86.2,4.7
pca10:North Durham,E14000840,!,43400,!,!,!,43400,!,!,4000,43400,9.3,4.9,2300,43400,5.4,*,6700,43400,15.4,6.1,2400,43400,5.6,*,7000,43400,16.1,6.2,18000,43400,41.4,8.4,2000,43400,4.7,*,36100,43400,83.2,6.4
pca10:North Tyneside,E14000853,!,48100,!,!,1000,48100,2.0,*,3800,48100,8.0,3.6,3600,48100,7.5,3.5,7000,48100,14.6,4.6,6000,48100,12.5,4.3,6500,48100,13.4,4.5,17300,48100,36.1,6.3,2900,48100,6.0,3.1,39700,48100,82.5,5.0
pca10:North West Durham,E14000856,#,41100,1.9,*,!,41100,!,!,2500,41100,6.0,*,4100,41100,10.1,5.5,8500,41100,20.6,7.3,2200,41100,5.3,*,4900,41100,11.9,5.9,15100,41100,36.8,8.7,2400,41100,5.9,*,33100,41100,80.5,7.2
pca10:Redcar,E14000891,!,35300,!,!,1500,35300,4.3,2.2,3500,35300,9.9,3.3,3300,35300,9.3,3.2,6700,35300,19.1,4.3,2300,35300,6.4,2.7,4500,35300,12.6,3.6,11100,35300,31.4,5.1,2300,35300,6.4,2.7,26800,35300,76.0,4.7
pca10:Sedgefield,E14000915,~,37200,1.1,*,!,37200,!,!,5200,37200,13.9,5.0,2300,37200,6.2,3.5,7200,37200,19.3,5.7,2000,37200,5.3,3.2,4000,37200,10.7,4.5,14500,37200,38.9,7.0,1600,37200,4.3,*,29200,37200,78.6,5.9
pca10:South Shields,E14000944,!,34800,!,!,800,34800,2.2,*,4400,34800,12.7,4.0,2600,34800,7.3,3.1,5500,34800,15.7,4.4,3200,34800,9.1,3.4,4400,34800,12.6,4.0,11700,34800,33.7,5.7,2100,34800,6.1,2.9,26900,34800,77.2,5.0
pca10:Stockton North,E14000970,!,37500,!,!,700,37500,1.8,*,4000,37500,10.6,4.0,3000,37500,8.1,3.5,6700,37500,17.9,5.0,2900,37500,7.8,3.5,5400,37500,14.3,4.5,12500,37500,33.3,6.1,1900,37500,5.0,2.8,29300,37500,78.3,5.3
pca10:Stockton South,E14000971,!,51600,!,!,900,51600,1.8,*,4900,51600,9.5,3.3,3900,51600,7.5,2.9,8900,51600,17.2,4.2,3200,51600,6.2,2.7,6700,51600,13.0,3.7,19300,51600,37.4,5.4,3700,51600,7.1,2.9,41700,51600,80.8,4.4
pca10:Sunderland Central,E14000982,!,50700,!,!,1800,50700,3.6,*,6300,50700,12.4,4.2,2400,50700,4.7,2.7,9800,50700,19.2,5.1,2900,50700,5.7,3.0,7200,50700,14.2,4.5,17300,50700,34.1,6.1,3100,50700,6.2,3.1,40300,50700,79.3,5.2
pca10:Tynemouth,E14001006,!,52300,!,!,1000,52300,1.9,*,5400,52300,10.3,3.8,2500,52300,4.8,2.7,6500,52300,12.4,4.1,5800,52300,11.0,3.9,6000,52300,11.5,4.0,21400,52300,40.9,6.1,3500,52300,6.7,3.1,43200,52300,82.5,4.7
pca10:Wansbeck,E14001014,!,36300,!,!,700,36300,1.9,*,4300,36300,11.9,5.3,2600,36300,7.2,4.2,5500,36300,15.0,5.9,1800,36300,5.0,*,4400,36300,12.0,5.3,13500,36300,37.0,7.9,3300,36300,9.1,4.7,28400,36300,78.2,6.8
pca10:Washington and Sunderland West,E14001020,!,40100,!,!,!,40100,!,!,5900,40100,14.8,5.0,4400,40100,11.0,4.4,9600,40100,23.9,6.0,2200,40100,5.5,3.2,5700,40100,14.2,5.0,10000,40100,24.9,6.1,1800,40100,4.6,*,29300,40100,73.0,6.3
pca10:Altrincham and Sale West,E14000532,!,51500,!,!,~,51500,1.0,*,3700,51500,7.2,3.2,3600,51500,7.0,3.2,9700,51500,18.9,4.9,3200,51500,6.2,3.0,14200,51500,27.6,5.6,12600,51500,24.6,5.4,3100,51500,6.1,3.0,42900,51500,83.3,4.6
pca10:Ashton-under-Lyne,E14000537,!,40100,!,!,!,40100,!,!,4500,40100,11.2,4.2,3300,40100,8.3,3.7,6900,40100,17.2,5.0,4800,40100,11.9,4.3,5300,40100,13.1,4.5,12700,40100,31.7,6.2,1600,40100,3.9,2.6,31200,40100,77.8,5.5
pca10:Barrow and Furness,E14000543,!,35800,!,!,1400,35800,3.9,*,10100,35800,28.3,8.8,1400,35800,4.0,*,6900,35800,19.3,7.7,1000,35800,2.8,*,2300,35800,6.4,*,9900,35800,27.7,8.8,1900,35800,5.3,*,22000,35800,61.4,9.5
pca10:Birkenhead,E14000559,!,32100,!,!,600,32100,1.8,*,3900,32100,12.3,5.7,2200,32100,6.7,*,5500,32100,17.2,6.5,2200,32100,6.8,*,6000,32100,18.8,6.8,9100,32100,28.4,7.8,2600,32100,8.0,4.7,25400,32100,79.2,7.0
pca10:Blackburn,E14000570,!,42800,!,!,~,42800,0.7,*,6100,42800,14.3,3.3,1600,42800,3.8,1.8,9400,42800,21.9,3.9,4300,42800,10.0,2.8,5400,42800,12.6,3.1,13700,42800,32.0,4.4,1600,42800,3.8,1.8,34400,42800,80.3,3.7
pca10:Blackley and Broughton,E14000571,!,47200,!,!,!,47200,!,!,3600,47200,7.7,*,2300,47200,4.8,*,11400,47200,24.2,7.7,7400,47200,15.6,6.5,10600,47200,22.6,7.5,8900,47200,18.9,7.0,2000,47200,4.1,*,40300,47200,85.5,6.3
pca10:Blackpool North and Cleveleys,E14000572,!,41600,!,!,900,41600,2.1,*,1800,41600,4.4,2.2,2100,41600,5.1,2.3,8600,41600,20.6,4.3,2800,41600,6.8,2.7,4400,41600,10.7,3.3,16500,41600,39.8,5.1,4100,41600,9.9,3.1,36500,41600,87.9,3.4
pca10:Blackpool South,E14000573,!,32200,!,!,600,32200,1.8,*,2900,32200,9.1,3.0,2800,32200,8.8,3.0,7500,32200,23.3,4.4,2200,32200,6.9,2.7,4000,32200,12.3,3.5,10100,32200,31.3,4.9,1800,32200,5.5,2.4,25500,32200,79.3,4.3
pca10:Bolton North East,E14000578,!,43900,!,!,700,43900,1.7,*,4500,43900,10.2,4.5,2300,43900,5.2,*,7900,43900,18.1,5.7,3200,43900,7.3,3.9,5500,43900,12.5,4.9,16000,43900,36.4,7.2,3300,43900,7.6,3.9,35900,43900,81.9,5.7
pca10:Bolton South East,E14000579,#,36900,1.9,*,!,36900,!,!,2500,36900,6.6,4.0,2500,36900,6.8,4.0,9800,36900,26.6,7.0,4100,36900,11.0,5.0,4400,36900,11.9,5.2,10800,36900,29.2,7.2,1900,36900,5.3,*,31000,36900,84.0,5.9
pca10:Bolton West,E14000580,!,50600,!,!,800,50600,1.5,*,5600,50600,11.0,4.2,3500,50600,7.0,3.4,9200,50600,18.2,5.1,2000,50600,4.0,*,7600,50600,15.0,4.8,16900,50600,33.3,6.3,4500,50600,8.9,3.8,40200,50600,79.4,5.4
pca10:Bootle,E14000581,!,41600,!,!,800,41600,1.8,*,1600,41600,4.0,*,2400,41600,5.7,3.2,8000,41600,19.2,5.5,4500,41600,10.7,4.3,7400,41600,17.8,5.3,14600,41600,35.2,6.6,2300,41600,5.6,3.2,36800,41600,88.5,4.4
pca10:Burnley,E14000609,!,38400,!,!,!,38400,!,!,5800,38400,15.0,7.3,3600,38400,9.4,*,6600,38400,17.1,7.7,5400,38400,14.1,7.1,2500,38400,6.5,*,11600,38400,30.1,9.4,2500,38400,6.6,*,28500,38400,74.3,8.9
pca10:Bury North,E14000611,~,44100,1.0,*,700,44100,1.7,*,5300,44100,12.1,3.7,3200,44100,7.2,2.9,8300,44100,18.8,4.5,3100,44100,7.0,2.9,9100,44100,20.7,4.6,11500,44100,26.0,5.0,2400,44100,5.3,2.6,34400,44100,77.8,4.7
pca10:Bury South,E14000612,!,44800,!,!,1200,44800,2.6,*,3100,44800,6.9,2.9,2900,44800,6.6,2.8,7100,44800,15.9,4.2,3600,44800,8.1,3.1,9000,44800,20.0,4.6,15300,44800,34.2,5.5,2200,44800,4.9,2.5,37200,44800,83.0,4.3
pca10:Carlisle,E14000620,#,49600,1.7,*,2100,49600,4.3,*,5000,49600,10.0,5.3,5500,49600,11.1,5.6,9300,49600,18.7,6.9,4100,49600,8.2,4.9,6600,49600,13.3,6.0,14300,49600,28.9,8.0,1800,49600,3.7,*,36100,49600,72.9,7.9
pca10:Cheadle,E14000627,!,44100,!,!,!,44100,!,!,4500,44100,10.2,4.8,1500,44100,3.4,*,5400,44100,12.3,5.2,4300,44100,9.8,4.7,13300,44100,30.0,7.2,13600,44100,30.7,7.3,1600,44100,3.5,*,38100,44100,86.4,5.4
pca10:Chorley,E14000637,#,46400,3.5,*,!,46400,!,!,5800,46400,12.5,7.3,2600,46400,5.6,*,7100,46400,15.3,7.9,3400,46400,7.4,*,5500,46400,11.8,*,14800,46400,31.9,10.2,3900,46400,8.3,*,34700,46400,74.8,9.5
